3.33,-6927.25,0
480150,500.00,948.85,0
480153,333.33,0.00,0
480155,500.00,0.00,0
480157,500.00,7129.40,0
480160,333.33,6139.36,0
480162,500.00,-0.00,0
480165,333.33,-0.00,0
480167,500.00,-7149.95,0
480171,250.00,7081.08,0
480173,500.00,0.00,0
480176,333.33,0.00,0
480178,500.00,5286.85,0
480181,333.33,-12264.98,0
480183,500.00,-0.00,0
480186,333.33,-0.00,0
480188,500.00,-10573.71,0
480191,333.33,7057.12,0
480193,500.00,0.00,0
480196,333.33,0.00,0
480198,500.00,-10570.40,0
480201,333.33,-12254.76,0
480203,500.00,-0.00,0
480206,333.33,-0.00,0
480208,500.00,2643.64,0
480211,333.33,7043.39,0
480214,333.33,0.00,0
480217,333.33,0.23,0
480219,500.00,-5231.92,0
480222,333.33,-6820.04,0
480224,500.00,-0.00,0
480227,333.33,-0.00,0
480229,500.00,-5286.85,0
480232,333.33,9.99,0
480234,500.00,0.00,0
480236,500.00,440.03,0
480239,333.33,6132.75,0
480241,500.00,-0.00,0
480244,333.33,-0.00,0
480246,500.00,-0.00,0
480249,500.00,-10570.40,0
480251,333.33,934.09,0
480254,333.33,0.00,0
480257,333.33,7074.47,0
480260,333.33,6132.75,0
480262,500.00,-0.00,0
480265,333.33,-0.00,0
480267,500.00,-0.00,0
480269,500.00,-5231.92,0
480272,333.33,26.64,0
480274,500.00,0.00,0
480277,333.33,-13557.48,0
480279,500.00,2643.64,0
480282,333.33,-0.00,0
480284,500.00,-0.00,0
480287,333.33,-0.00,0
480289,500.00,-6132.70,0
480292,333.33,0.00,0
480294,500.00,0.00,0
480296,500.00,86.13,0
480300,250.00,-2643.43,0
480302,500.00,-0.00,0
480305,333.33,-0.00,0
480307,500.00,-0.00,0
480310,333.33,-5231.92,0
480312,500.00,0.00,0
480315,333.33,0.00,0
480317,500.00,509.28,0
480319,500.00,12265.09,0
480322,333.33,-0.00,0
480324,500.00,-0.00,0
480327,333.33,-0.00,0
480329,500.00,-10573.71,0
480332,333.33,0.00,0
480334,500.00,0.00,0
480336,500.00,65.27,0
480339,333.33,-10573.71,0
480343,250.00,-0.00,0
480345,500.00,-0.00,0
480347,500.00,-0.00,0
480350,333.33,-6132.70,0
480352,500.00,0.00,0
480355,333.33,0.00,0
480357,500.00,6830.37,0
480360,333.33,6139.36,0
480362,500.00,-0.00,0
480365,333.33,-0.00,0
480367,500.00,-0.00,0
480369,500.00,6139.36,0
480372,333.33,0.00,0
480374,500.00,0.00,0
480377,500.00,7507.38,0
480379,333.33,6139.36,0
480382,333.33,-0.00,0
480385,333.33,-0.00,0
480387,500.00,-0.00,0
480390,333.33,6139.36,0
480392,500.00,0.00,0
480395,333.33,0.00,0
480397,500.00,7043.49,0
480400,500.00,5286.87,0
480402,333.33,-0.00,0
480404,500.00,-0.00,0
480407,333.33,-0.00,0
480409,500.00,-10573.71,0
480412,333.33,0.00,0
480414,500.00,0.00,0
480417,333.33,7043.49,0
480419,500.00,6139.36,0
480422,333.33,-0.00,0
480424,500.00,-0.00,0
480428,333.33,-0.00,0
480430,333.33,-2616.17,0
480433,333.33,0.00,0
480435,500.00,0.00,0
480437,500.00,6844.02,0
480440,333.33,6132.75,0
480442,500.00,-0.00,0
480445,333.33,-0.00,0
480447,500.00,-0.00,0
480449,500.00,-2616.17,0
480452,333.33,0.00,0
480454,500.00,0.00,0
480457,333.33,512.16,0
480459,500.00,2643.64,0
480462,333.33,-0.00,0
480464,500.00,-0.00,0
480467,333.33,-0.00,0
480470,333.33,6132.75,0
480472,500.00,0.00,0
480475,333.33,0.00,0
480477,500.00,11.99,0
480479,500.00,2643.64,0
480482,333.33,-0.00,0
480484,500.00,-0.00,0
480487,333.33,-0.00,0
480489,500.00,6139.36,0
480492,333.33,53.28,0
480494,500.00,0.00,0
480496,500.00,6840.69,0
480499,333.33,-5231.92,0
480502,333.33,-0.00,0
480504,500.00,-0.00,0
480506,500.00,-0.00,0
480509,333.33,10573.73,0
480512,333.33,0.00,0
480515,333.33,0.00,0
480517,500.00,-6345.88,0
480520,333.33,12278.72,0
480522,500.00,-0.00,0
480525,333.33,-0.00,0
480527,500.00,-0.00,0
480530,333.33,-10570.40,0
480532,500.00,0.00,0
480535,333.33,0.00,0
480537,500.00,-12701.67,0
480540,333.33,5286.87,0
480542,500.00,-0.00,0
480545,333.33,-0.00,0
480547,500.00,-3516.59,0
480550,333.33,7057.15,0
480552,500.00,0.00,0
480555,333.33,0.00,0
480558,333.33,7057.15,0
480560,500.00,-2616.17,0
480563,333.33,-0.00,0
480565,500.00,-0.00,0
480568,333.33,-12051.85,0
480570,500.00,7926.97,0
480573,333.33,0.00,0
480575,500.00,0.00,0
480578,333.33,5286.87,0
480580,500.00,-5231.92,0
480583,333.33,-0.00,0
480585,500.00,-0.00,0
480588,333.33,-5286.85,0
480590,500.00,7057.12,0
480593,333.33,0.00,0
480595,500.00,0.00,0
480598,333.33,-6026.19,0
480601,333.33,5287.31,0
480604,333.33,-0.00,0
480606,500.00,-0.00,0
480608,500.00,-2643.43,0
480611,333.33,7981.91,0
480614,333.33,0.00,0
480616,500.00,0.00,0
480618,500.00,-5286.85,0
480621,333.33,-6926.61,0
480624,333.33,-0.00,0
480626,500.00,-0.00,0
480628,500.00,12278.72,0
480631,333.33,911.10,0
480633,500.00,0.00,0
480636,333.33,0.05,0
480638,500.00,-10573.71,0
480642,250.00,-426.25,0
480644,500.00,-0.00,0
480647,333.33,-0.00,0
480649,500.00,2643.64,0
480652,333.33,7043.17,0
480654,500.00,0.00,0
480657,333.33,82.61,0
480659,500.00,12278.72,0
480662,333.33,-0.00,0
480664,500.00,-0.00,0
480666,500.00,-0.00,0
480669,333.33,10573.73,0
480671,500.00,7053.56,0
480674,333.33,0.00,0
480676,500.00,7081.08,0
480679,333.33,12278.72,0
480681,500.00,-0.00,0
480685,250.00,-0.00,0
480687,500.00,-0.00,0
480690,333.33,-5286.85,0
480692,500.00,0.00,0
480695,333.33,0.00,0
480697,500.00,522.49,0
480699,500.00,10573.73,0
480702,333.33,-0.00,0
480704,500.00,-0.00,0
480707,333.33,-0.00,0
480709,500.00,-5231.92,0
480712,333.33,0.00,0
480714,500.00,0.00,0
480716,500.00,59.48,0
480719,333.33,-12264.98,0
480722,333.33,-0.00,0
480724,500.00,-0.00,0
480727,333.33,-0.00,0
480730,333.33,-5231.92,0
480732,500.00,0.00,0
480735,333.33,0.00,0
480737,500.00,6844.00,0
480740,333.33,6139.36,0
480742,500.00,-0.00,0
480744,500.00,-0.00,0
480747,333.33,-0.00,0
480749,500.00,-12264.98,0
480752,333.33,0.00,0
480754,500.00,0.00,0
480757,333.33,-6132.75,0
480759,500.00,6132.75,0
480762,333.33,-0.00,0
480764,500.00,-0.00,0
480768,250.00,-0.00,0
480770,500.00,6132.75,0
480773,333.33,0.00,0
480775,500.00,0.00,0
480777,500.00,7081.13,0
480780,333.33,6139.36,0
480782,500.00,-0.00,0
480785,333.33,-0.00,0
480787,500.00,-0.00,0
480789,500.00,6139.36,0
480792,333.33,0.00,0
480794,500.00,0.00,0
480797,333.33,58.65,0
480799,500.00,2643.64,0
480802,333.33,-0.00,0
480804,500.00,-0.00,0
480806,500.00,-0.00,0
480809,333.33,2643.64,0
480812,333.33,3410.02,0
480815,333.33,0.00,0
480817,500.00,7057.15,0
480820,333.33,2643.64,0
480822,500.00,-0.00,0
480825,333.33,-0.00,0
480827,500.00,-0.00,0
480830,500.00,-5286.85,0
480832,333.33,0.00,0
480834,500.00,0.00,0
480837,333.33,6844.02,0
